matrix_size,num_blocks,block_size,block_memory,scheduler,wall_time,real_time,max_rss_kb,run_number,timestamp
2048,1,2048,33554432,sequential,0.056382,0.3,80520,0,2025-11-11T16:12:02.845779
2048,1,2048,33554432,sequential,0.056829,0.31,79268,1,2025-11-11T16:12:04.879623
2048,1,2048,33554432,sequential,0.057628,0.26,80296,2,2025-11-11T16:12:08.921706
2048,1,2048,33554432,sequential,0.056517,0.26,79472,3,2025-11-11T16:12:10.955690
2048,1,2048,33554432,sequential,0.056088,0.29,79832,4,2025-11-11T16:12:12.988952
2048,1,2048,33554432,omp-task,0.134439,0.36,151548,0,2025-11-11T16:12:17.057106
2048,1,2048,33554432,omp-task,0.1343,0.36,154396,1,2025-11-11T16:12:21.099373
2048,1,2048,33554432,omp-task,0.134282,0.36,149808,2,2025-11-11T16:12:23.132824
2048,1,2048,33554432,omp-task,0.134357,0.34,151004,3,2025-11-11T16:12:27.173992
2048,1,2048,33554432,omp-task,0.133993,0.38,151008,4,2025-11-11T16:12:31.216099
2048,1,2048,33554432,virtual-fifo,0.147523,0.37,185976,0,2025-11-11T16:12:41.308368
2048,1,2048,33554432,virtual-fifo,0.147802,0.36,188444,1,2025-11-11T16:12:43.342376
2048,1,2048,33554432,virtual-fifo,0.147345,0.35,188748,2,2025-11-11T16:12:47.384572
2048,1,2048,33554432,virtual-fifo,0.120187,0.35,180624,3,2025-11-11T16:12:49.417351
2048,1,2048,33554432,virtual-fifo,0.147178,0.36,184128,4,2025-11-11T16:12:51.450586
2048,2,1024,8388608,sequential,0.053978,0.28,76416,0,2025-11-11T16:12:57.525841
2048,2,1024,8388608,sequential,0.054181,0.28,76904,1,2025-11-11T16:12:59.561740
2048,2,1024,8388608,sequential,0.054482,0.26,76604,2,2025-11-11T16:13:03.604223
2048,2,1024,8388608,sequential,0.053714,0.3,76724,3,2025-11-11T16:13:05.638142
2048,2,1024,8388608,sequential,0.054436,0.26,77100,4,2025-11-11T16:13:09.680641
2048,2,1024,8388608,omp-task,0.158553,0.37,159828,0,2025-11-11T16:13:15.756054
2048,2,1024,8388608,omp-task,0.132029,0.33,147432,1,2025-11-11T16:13:19.799210
2048,2,1024,8388608,omp-task,0.18353,0.41,162372,2,2025-11-11T16:13:21.831465
2048,2,1024,8388608,omp-task,0.132182,0.34,143024,3,2025-11-11T16:13:23.863738
2048,2,1024,8388608,omp-task,0.122235,0.39,153088,4,2025-11-11T16:13:27.905622
2048,2,1024,8388608,virtual-fifo,0.151607,0.39,187012,0,2025-11-11T16:13:33.981714
2048,2,1024,8388608,virtual-fifo,0.150663,0.36,200868,1,2025-11-11T16:13:36.016335
2048,2,1024,8388608,virtual-fifo,0.150966,0.39,179708,2,2025-11-11T16:13:40.059034
2048,2,1024,8388608,virtual-fifo,0.152868,0.37,200880,3,2025-11-11T16:13:42.093459
2048,2,1024,8388608,virtual-fifo,0.136576,0.37,184524,4,2025-11-11T16:13:46.135192
2048,4,512,2097152,sequential,0.055048,0.28,75056,0,2025-11-11T16:13:52.210403
2048,4,512,2097152,sequential,0.055016,0.25,74676,1,2025-11-11T16:13:54.243940
2048,4,512,2097152,sequential,0.055065,0.29,75056,2,2025-11-11T16:13:58.286674
2048,4,512,2097152,sequential,0.055598,0.25,74704,3,2025-11-11T16:14:00.323390
2048,4,512,2097152,sequential,0.055995,0.29,74288,4,2025-11-11T16:14:04.364934
2048,4,512,2097152,omp-task,0.064525,0.31,165964,0,2025-11-11T16:14:10.439305
2048,4,512,2097152,omp-task,0.063948,0.3,152496,1,2025-11-11T16:14:12.473245
2048,4,512,2097152,omp-task,0.066836,0.27,163876,3,2025-11-11T16:14:18.549097
2048,4,512,2097152,omp-task,0.06927,0.3,160268,4,2025-11-11T16:14:22.591732
2048,4,512,2097152,virtual-fifo,0.189075,0.41,195392,1,2025-11-11T16:14:30.700488
2048,4,512,2097152,virtual-fifo,0.190201,0.41,196880,2,2025-11-11T16:14:34.742017
2048,4,512,2097152,virtual-fifo,0.189978,0.43,201472,3,2025-11-11T16:14:36.773943
2048,4,512,2097152,virtual-fifo,0.190403,0.43,197372,4,2025-11-11T16:14:40.814417
2048,8,256,524288,sequential,0.054124,0.27,75068,0,2025-11-11T16:14:46.889902
2048,8,256,524288,sequential,0.054656,0.29,75840,1,2025-11-11T16:14:48.924444
2048,8,256,524288,sequential,0.056206,0.29,75452,2,2025-11-11T16:14:52.966930
2048,8,256,524288,sequential,0.054974,0.3,75056,3,2025-11-11T16:14:55.000456
2048,8,256,524288,sequential,0.054635,0.29,76032,4,2025-11-11T16:14:59.041587
2048,8,256,524288,omp-task,0.033783,0.26,201068,0,2025-11-11T16:15:07.128130
2048,8,256,524288,omp-task,0.038388,0.29,207424,1,2025-11-11T16:15:09.162357
2048,8,256,524288,omp-task,0.039077,0.29,205308,2,2025-11-11T16:15:13.203751
2048,8,256,524288,omp-task,0.038502,0.26,195672,3,2025-11-11T16:15:17.245035
2048,8,256,524288,omp-task,0.036543,0.26,180660,4,2025-11-11T16:15:19.278861
2048,8,256,524288,virtual-fifo,0.215022,0.48,263828,0,2025-11-11T16:15:25.355612
2048,8,256,524288,virtual-fifo,0.217824,0.48,273556,1,2025-11-11T16:15:27.389134
2048,8,256,524288,virtual-fifo,0.216628,0.44,280836,2,2025-11-11T16:15:31.431633
2048,8,256,524288,virtual-fifo,0.216078,0.49,262708,3,2025-11-11T16:15:35.473946
2048,8,256,524288,virtual-fifo,0.215766,0.46,257376,4,2025-11-11T16:15:37.506895
2048,16,128,131072,sequential,0.050404,0.28,74288,0,2025-11-11T16:15:41.574328
2048,16,128,131072,sequential,0.050501,0.29,74320,1,2025-11-11T16:15:45.617307
2048,16,128,131072,sequential,0.050346,0.3,75060,2,2025-11-11T16:15:49.658639
2048,16,128,131072,sequential,0.051672,0.31,75104,3,2025-11-11T16:15:51.692382
2048,16,128,131072,sequential,0.053274,0.27,75088,4,2025-11-11T16:15:53.725765
2048,16,128,131072,omp-task,0.029488,0.25,240064,0,2025-11-11T16:15:59.802778
2048,16,128,131072,omp-task,0.029054,0.25,245748,1,2025-11-11T16:16:03.846078
2048,16,128,131072,omp-task,0.02768,0.27,256872,2,2025-11-11T16:16:07.888355
2048,16,128,131072,omp-task,0.027944,0.27,248364,3,2025-11-11T16:16:09.921311
2048,16,128,131072,omp-task,0.027106,0.25,240800,4,2025-11-11T16:16:11.966307
2048,16,128,131072,virtual-fifo,0.289967,0.55,357316,0,2025-11-11T16:16:16.033915
2048,16,128,131072,virtual-fifo,0.289906,0.52,356324,1,2025-11-11T16:16:18.189797
2048,16,128,131072,virtual-fifo,0.291432,0.56,377684,2,2025-11-11T16:16:22.231178
2048,16,128,131072,virtual-fifo,0.291735,0.55,374084,3,2025-11-11T16:16:24.264337
2048,16,128,131072,virtual-fifo,0.291903,0.54,367920,4,2025-11-11T16:16:28.306871
2048,32,64,32768,sequential,0.055834,0.29,74688,0,2025-11-11T16:16:36.391693
2048,32,64,32768,sequential,0.055712,0.3,75072,1,2025-11-11T16:16:40.434498
2048,32,64,32768,sequential,0.061572,0.27,74304,2,2025-11-11T16:16:42.468492
2048,32,64,32768,omp-task,0.029982,0.26,225740,0,2025-11-11T16:16:54.614960
2048,32,64,32768,omp-task,0.031078,0.25,214576,1,2025-11-11T16:16:56.648313
2048,32,64,32768,omp-task,0.031989,0.27,215532,2,2025-11-11T16:17:00.690981
2048,32,64,32768,omp-task,0.033048,0.28,219332,3,2025-11-11T16:17:02.727810
2048,32,64,32768,omp-task,0.032851,0.26,219724,4,2025-11-11T16:17:06.770225
4096,1,4096,134217728,sequential,0.3463,1.14,282888,0,2025-11-11T16:17:12.846079
4096,1,4096,134217728,sequential,0.350759,1.16,282556,1,2025-11-11T16:17:16.888636
4096,1,4096,134217728,sequential,0.343132,1.18,282500,2,2025-11-11T16:17:20.930938
4096,1,4096,134217728,sequential,0.345961,1.15,282288,3,2025-11-11T16:17:22.964992
4096,1,4096,134217728,sequential,0.346145,1.14,282540,4,2025-11-11T16:17:27.007165
4096,1,4096,134217728,omp-task,0.773901,1.56,352836,0,2025-11-11T16:17:35.090364
4096,1,4096,134217728,omp-task,0.772486,1.59,349864,1,2025-11-11T16:17:41.140236
4096,1,4096,134217728,omp-task,0.773523,1.58,368132,2,2025-11-11T16:17:43.173082
4096,1,4096,134217728,omp-task,0.77388,1.57,357848,3,2025-11-11T16:17:47.215376
4096,1,4096,134217728,omp-task,0.772931,1.6,354360,4,2025-11-11T16:17:53.265788
4096,1,4096,134217728,virtual-fifo,0.825299,1.66,494256,0,2025-11-11T16:18:05.369490
4096,1,4096,134217728,virtual-fifo,0.820417,1.61,485816,1,2025-11-11T16:18:09.411715
4096,1,4096,134217728,virtual-fifo,0.819224,1.63,483776,2,2025-11-11T16:18:13.454031
4096,1,4096,134217728,virtual-fifo,0.81855,1.63,475812,3,2025-11-11T16:18:17.496758
4096,1,4096,134217728,virtual-fifo,0.818269,1.64,481592,4,2025-11-11T16:18:21.539209
4096,2,2048,33554432,sequential,0.344569,1.13,277600,0,2025-11-11T16:18:27.615756
4096,2,2048,33554432,sequential,0.348858,1.12,277592,1,2025-11-11T16:18:31.657161
4096,2,2048,33554432,sequential,0.345468,1.14,275712,2,2025-11-11T16:18:33.690735
4096,2,2048,33554432,sequential,0.346419,1.14,276808,3,2025-11-11T16:18:37.732235
4096,2,2048,33554432,sequential,0.344589,1.15,277524,4,2025-11-11T16:18:41.773690
4096,2,2048,33554432,omp-task,0.785072,1.58,344140,0,2025-11-11T16:18:49.854008
4096,2,2048,33554432,omp-task,0.783893,1.58,347960,1,2025-11-11T16:18:51.886376
4096,2,2048,33554432,omp-task,0.785976,1.57,350672,2,2025-11-11T16:18:55.927424
4096,2,2048,33554432,omp-task,0.786401,1.59,343668,3,2025-11-11T16:18:57.959525
4096,2,2048,33554432,omp-task,0.786521,1.59,360164,4,2025-11-11T16:19:02.001536
4096,2,2048,33554432,virtual-fifo,0.841755,1.64,520340,0,2025-11-11T16:19:14.104086
4096,2,2048,33554432,virtual-fifo,0.85704,1.67,521860,1,2025-11-11T16:19:20.154323
4096,2,2048,33554432,virtual-fifo,0.857538,1.67,512572,2,2025-11-11T16:19:24.195803
4096,2,2048,33554432,virtual-fifo,0.870655,1.66,507912,3,2025-11-11T16:19:28.237622
4096,2,2048,33554432,virtual-fifo,0.85827,1.66,509632,4,2025-11-11T16:19:32.279365
4096,4,1024,8388608,sequential,0.358896,1.11,272768,0,2025-11-11T16:19:40.363110
4096,4,1024,8388608,sequential,0.354805,1.14,273248,1,2025-11-11T16:19:42.396261
4096,4,1024,8388608,sequential,0.346448,1.12,273432,2,2025-11-11T16:19:46.436932
4096,4,1024,8388608,sequential,0.349745,1.17,274088,3,2025-11-11T16:19:48.469962
4096,4,1024,8388608,sequential,0.352175,1.16,273216,4,2025-11-11T16:19:52.511810
4096,4,1024,8388608,omp-task,0.342789,1.17,360208,0,2025-11-11T16:19:58.587507
4096,4,1024,8388608,omp-task,0.356802,1.16,370916,1,2025-11-11T16:20:00.621210
4096,4,1024,8388608,omp-task,0.371699,1.16,361392,2,2025-11-11T16:20:04.665360
4096,4,1024,8388608,omp-task,0.344396,1.17,368480,3,2025-11-11T16:20:08.706642
4096,4,1024,8388608,omp-task,0.385679,1.21,354148,4,2025-11-11T16:20:12.747298
4096,4,1024,8388608,virtual-fifo,0.902025,1.69,537192,0,2025-11-11T16:20:24.849488
4096,4,1024,8388608,virtual-fifo,0.898851,1.71,538792,2,2025-11-11T16:20:30.921433
4096,4,1024,8388608,virtual-fifo,0.900834,1.72,537232,3,2025-11-11T16:20:34.963330
4096,4,1024,8388608,virtual-fifo,0.903152,1.7,543376,4,2025-11-11T16:20:39.004689
4096,8,512,2097152,sequential,0.37245,1.15,272464,0,2025-11-11T16:20:47.089261
4096,8,512,2097152,sequential,0.358844,1.17,272016,1,2025-11-11T16:20:53.140224
4096,8,512,2097152,sequential,0.370483,1.18,272660,2,2025-11-11T16:20:59.191018
4096,8,512,2097152,sequential,0.36557,1.17,271280,3,2025-11-11T16:21:05.244845
4096,8,512,2097152,sequential,0.357954,1.14,272084,4,2025-11-11T16:21:09.287133
4096,8,512,2097152,omp-task,0.149439,0.93,420224,0,2025-11-11T16:21:15.361001
4096,8,512,2097152,omp-task,0.144239,0.93,407728,1,2025-11-11T16:21:19.403062
4096,8,512,2097152,omp-task,0.140219,0.94,422088,2,2025-11-11T16:21:23.445856
4096,8,512,2097152,omp-task,0.137271,0.95,423172,3,2025-11-11T16:21:27.488596
4096,8,512,2097152,omp-task,0.141361,0.96,424264,4,2025-11-11T16:21:31.530527
4096,8,512,2097152,virtual-fifo,1.168031,1.95,600764,0,2025-11-11T16:21:39.614117
4096,8,512,2097152,virtual-fifo,1.167739,1.92,604612,1,2025-11-11T16:21:43.656501
4096,8,512,2097152,virtual-fifo,1.166246,1.98,588104,2,2025-11-11T16:21:47.699291
4096,8,512,2097152,virtual-fifo,1.166666,1.97,585504,3,2025-11-11T16:21:51.740949
4096,8,512,2097152,virtual-fifo,1.172118,1.98,591920,4,2025-11-11T16:21:57.792906
4096,16,256,524288,sequential,0.361074,1.15,270896,0,2025-11-11T16:22:05.880727
4096,16,256,524288,sequential,0.36789,1.19,271676,1,2025-11-11T16:22:09.922904
4096,16,256,524288,sequential,0.35969,1.14,272580,2,2025-11-11T16:22:11.956748
4096,16,256,524288,sequential,0.366652,1.14,272064,3,2025-11-11T16:22:13.990343
4096,16,256,524288,sequential,0.368158,1.14,269596,4,2025-11-11T16:22:18.031075
4096,16,256,524288,omp-task,0.079147,0.87,447884,0,2025-11-11T16:22:24.102129
4096,16,256,524288,omp-task,0.07794,0.85,451736,1,2025-11-11T16:22:28.143427
4096,16,256,524288,omp-task,0.076939,0.89,453872,2,2025-11-11T16:22:30.175986
4096,16,256,524288,omp-task,0.075035,0.88,447548,3,2025-11-11T16:22:34.217642
4096,16,256,524288,omp-task,0.075916,0.88,439276,4,2025-11-11T16:22:36.250004
4096,16,256,524288,virtual-fifo,1.373439,2.24,1184916,0,2025-11-11T16:22:48.351688
4096,16,256,524288,virtual-fifo,1.381455,2.23,1177104,1,2025-11-11T16:22:54.402006
4096,16,256,524288,virtual-fifo,1.375671,2.28,1175776,2,2025-11-11T16:23:00.453760
4096,16,256,524288,virtual-fifo,1.377524,2.23,1176756,3,2025-11-11T16:23:06.507168
4096,16,256,524288,virtual-fifo,1.38188,2.24,1177620,4,2025-11-11T16:23:10.548404
4096,32,128,131072,sequential,0.357313,1.17,271316,0,2025-11-11T16:23:16.622973
4096,32,128,131072,sequential,0.356902,1.14,271144,1,2025-11-11T16:23:18.656411
4096,32,128,131072,sequential,0.356098,1.14,271280,2,2025-11-11T16:23:22.698372
4096,32,128,131072,sequential,0.354376,1.14,271312,3,2025-11-11T16:23:24.732140
4096,32,128,131072,sequential,0.357187,1.16,271284,4,2025-11-11T16:23:28.774277
4096,32,128,131072,omp-task,0.05567,0.91,456604,0,2025-11-11T16:23:34.852178
4096,32,128,131072,omp-task,0.056286,0.87,448192,1,2025-11-11T16:23:36.886072
4096,32,128,131072,omp-task,0.057564,0.88,464932,2,2025-11-11T16:23:40.927929
4096,32,128,131072,omp-task,0.053832,0.86,446004,3,2025-11-11T16:23:42.960560
4096,32,128,131072,omp-task,0.058871,0.84,470808,4,2025-11-11T16:23:47.003224
6144,1,6144,301989888,sequential,1.028789,2.28,616196,0,2025-11-11T16:23:57.094941
6144,1,6144,301989888,sequential,1.036329,2.29,616492,1,2025-11-11T16:24:03.144875
6144,1,6144,301989888,sequential,1.030532,2.31,615860,2,2025-11-11T16:24:09.196874
6144,1,6144,301989888,sequential,1.034226,2.28,616580,3,2025-11-11T16:24:15.247377
6144,1,6144,301989888,sequential,1.049412,2.37,615812,4,2025-11-11T16:24:21.299370
6144,1,6144,301989888,omp-task,2.33787,3.6,684772,0,2025-11-11T16:24:33.404785
6144,1,6144,301989888,omp-task,2.330218,3.6,704760,1,2025-11-11T16:24:39.456545
6144,1,6144,301989888,omp-task,2.334329,3.64,690068,2,2025-11-11T16:24:45.507962
6144,1,6144,301989888,omp-task,2.333845,3.63,688500,3,2025-11-11T16:24:51.559169
6144,1,6144,301989888,omp-task,2.349787,3.64,685416,4,2025-11-11T16:24:57.609509
6144,1,6144,301989888,virtual-fifo,2.437342,3.72,983176,0,2025-11-11T16:25:11.718020
6144,1,6144,301989888,virtual-fifo,2.453519,3.7,1000180,1,2025-11-11T16:25:17.768498
6144,1,6144,301989888,virtual-fifo,2.437805,3.71,981508,2,2025-11-11T16:25:23.817435
6144,1,6144,301989888,virtual-fifo,2.458606,3.72,982920,3,2025-11-11T16:25:31.875583
6144,2,3072,75497472,sequential,1.036886,2.31,606868,0,2025-11-11T16:25:43.996604
6144,2,3072,75497472,sequential,1.052923,2.33,607876,1,2025-11-11T16:25:48.037669
6144,2,3072,75497472,sequential,1.058728,2.37,608804,2,2025-11-11T16:25:54.085399
6144,2,3072,75497472,sequential,1.046505,2.31,607808,3,2025-11-11T16:26:00.134685
6144,2,3072,75497472,sequential,1.039837,2.32,608476,4,2025-11-11T16:26:06.182754
6144,2,3072,75497472,omp-task,2.36413,3.64,674220,0,2025-11-11T16:26:20.290471
6144,2,3072,75497472,omp-task,2.368359,3.64,679268,1,2025-11-11T16:26:26.339031
6144,2,3072,75497472,omp-task,2.362063,3.65,677748,2,2025-11-11T16:26:34.396726
6144,2,3072,75497472,omp-task,2.347526,3.61,676504,3,2025-11-11T16:26:40.446986
6144,2,3072,75497472,omp-task,2.364016,3.67,671148,4,2025-11-11T16:26:46.496498
6144,2,3072,75497472,virtual-fifo,2.513809,3.83,1048160,0,2025-11-11T16:26:58.595812
6144,2,3072,75497472,virtual-fifo,2.516262,3.83,1055164,1,2025-11-11T16:27:06.653671
6144,2,3072,75497472,virtual-fifo,2.52384,3.82,1044380,2,2025-11-11T16:27:12.705246
6144,2,3072,75497472,virtual-fifo,2.516274,3.78,1058352,3,2025-11-11T16:27:18.755166
6144,2,3072,75497472,virtual-fifo,2.517512,3.8,1044148,4,2025-11-11T16:27:24.804592
6144,4,1536,18874368,sequential,1.062224,2.34,602772,0,2025-11-11T16:27:32.886696
6144,4,1536,18874368,sequential,1.073025,2.34,602172,1,2025-11-11T16:27:36.927984
6144,4,1536,18874368,sequential,1.068862,2.33,602104,2,2025-11-11T16:27:42.977465
6144,4,1536,18874368,sequential,1.076136,2.36,602552,3,2025-11-11T16:27:47.018853
6144,4,1536,18874368,sequential,1.078344,2.38,602392,4,2025-11-11T16:27:55.077556
6144,4,1536,18874368,omp-task,1.025311,2.31,714876,0,2025-11-11T16:28:05.169216
6144,4,1536,18874368,omp-task,1.013918,2.32,718408,1,2025-11-11T16:28:11.221839
6144,4,1536,18874368,omp-task,1.041806,2.3,712156,2,2025-11-11T16:28:15.263632
6144,4,1536,18874368,omp-task,1.025459,2.3,705360,3,2025-11-11T16:28:21.314183
6144,4,1536,18874368,omp-task,1.023676,2.3,706040,4,2025-11-11T16:28:27.365321
6144,4,1536,18874368,virtual-fifo,2.61575,3.92,1127288,0,2025-11-11T16:28:39.464957
6144,4,1536,18874368,virtual-fifo,2.618269,3.88,1116276,1,2025-11-11T16:28:45.514217
6144,4,1536,18874368,virtual-fifo,2.612132,3.87,1123136,2,2025-11-11T16:28:51.563737
6144,4,1536,18874368,virtual-fifo,2.624798,3.95,1108020,3,2025-11-11T16:28:57.613629
6144,4,1536,18874368,virtual-fifo,2.612142,3.88,1118664,4,2025-11-11T16:29:03.664304
6144,8,768,4718592,sequential,1.086699,2.36,599352,0,2025-11-11T16:29:13.758356
6144,8,768,4718592,sequential,1.085987,2.36,601608,1,2025-11-11T16:29:17.800340
6144,8,768,4718592,sequential,1.090795,2.38,601680,2,2025-11-11T16:29:21.842624
6144,8,768,4718592,sequential,1.088182,2.35,600120,3,2025-11-11T16:29:25.884541
6144,8,768,4718592,sequential,1.088164,2.37,600120,4,2025-11-11T16:29:29.926052
6144,8,768,4718592,omp-task,0.417031,1.69,780464,0,2025-11-11T16:29:33.992618
6144,8,768,4718592,omp-task,0.37836,1.67,799220,1,2025-11-11T16:29:38.034918
6144,8,768,4718592,omp-task,0.401559,1.67,773976,2,2025-11-11T16:29:44.084951
6144,8,768,4718592,omp-task,0.391969,1.67,777496,3,2025-11-11T16:29:50.134197
6144,8,768,4718592,omp-task,0.395011,1.67,776828,4,2025-11-11T16:29:54.175173
6144,8,768,4718592,virtual-fifo,2.935367,4.22,1230600,0,2025-11-11T16:30:10.290237
6144,8,768,4718592,virtual-fifo,2.928319,4.19,1221748,1,2025-11-11T16:30:16.339118
6144,8,768,4718592,virtual-fifo,2.911841,4.2,1220772,2,2025-11-11T16:30:24.397583
6144,8,768,4718592,virtual-fifo,2.935192,4.23,1218272,4,2025-11-11T16:30:36.497648
6144,16,384,1179648,sequential,1.118264,2.42,599344,0,2025-11-11T16:30:48.598361
